"id","geom","heigh","id_shp","nm_village","nm_town","nm_county","nm_busi_in","dis_tam","area"
246842,"MULTIPOLYGON (((116.44992860269896 39.88562055784797, 116.44917542345199 39.88561888886409, 116.44917541461604 39.88568886050093, 116.44992859386497 39.88569052948472, 116.44992860269896 39.88562055784797)))","6",635.0,垂杨柳东里社区,双井街道,朝阳区,劲松,5637.267100513695,0.269171580056667
246844,"MULTIPOLYGON (((116.44514630815797 39.88568848664052, 116.44515171823097 39.88544153875411, 116.44499035283802 39.88544532166711, 116.44499032109097 39.88569639663211, 116.44514630815797 39.88568848664052)))","6",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
246881,"MULTIPOLYGON (((116.45427057434598 39.88568815407579, 116.45413067278996 39.88568782371258, 116.45413065514701 39.88582776679939, 116.45427055670304 39.885828097162594, 116.45427057434598 39.88568815407579)))","6",635.0,垂杨柳东里社区,双井街道,朝阳区,劲松,5637.267100513695,0.269171580056667
246921,"MULTIPOLYGON (((116.44645337922499 39.88589701633829, 116.44637807173 39.88589274141281, 116.44637267906901 39.88599974505263, 116.44644798654802 39.886004019957944, 116.44645337922499 39.88589701633829)))","6",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
246928,"MULTIPOLYGON (((116.45117672841997 39.88602261307823, 116.45167171250604 39.88601962372529, 116.45170399437797 39.88601969746853, 116.45170937988796 39.88597855017646, 116.45167171770001 39.8859784641396, 116.45117673361403 39.885981453494935, 116.45117672841997 39.88602261307823)))","6",635.0,垂杨柳东里社区,双井街道,朝阳区,劲松,5637.267100513695,0.269171580056667
246955,"MULTIPOLYGON (((116.44806178807697 39.88600335658246, 116.44786274665798 39.88600292599134, 116.44786273521797 39.8860934770054, 116.44806177663803 39.88609390759661, 116.44806178807697 39.88600335658246)))","6",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
246957,"MULTIPOLYGON (((116.44730328210605 39.88604699836216, 116.44730328730704 39.886005838798226, 116.44718494142398 39.8860097016027, 116.44718492998203 39.8861002526062, 116.44750231154697 39.88610504854113, 116.44750231830797 39.88605154114742, 116.44730328210605 39.88604699836216)))","6",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
246974,"MULTIPOLYGON (((116.445990742889 39.88616358009754, 116.44599612921895 39.88610596807554, 116.44616288026401 39.8861063181246, 116.44616288962897 39.88603223095744, 116.44587242084697 39.886031621817324, 116.44587241200205 39.8861015930329, 116.44564111540701 39.88610111007283, 116.44564110604001 39.886175197165734, 116.445990742889 39.88616358009754)))","6",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
246990,"MULTIPOLYGON (((116.440042313285 39.886118813440845, 116.43987560846199 39.88611850030617, 116.43987021839999 39.88621727295543, 116.44004230077697 39.88621759617368, 116.440042313285 39.886118813440845)))","6",637.0,广和里社区,双井街道,朝阳区,劲松,4859.430144353627,0.274446675275445
247031,"MULTIPOLYGON (((116.45353871755499 39.88625855103896, 116.45326968414602 39.88625792220304, 116.45330196541497 39.88627857726124, 116.45331272567299 39.8862868342669, 116.45333962530103 39.88631570867314, 116.45353870976905 39.88632029016397, 116.45353871495902 39.88627913075342, 116.45353871755499 39.88625855103896)))","6",635.0,垂杨柳东里社区,双井街道,朝阳区,劲松,5637.267100513695,0.269171580056667
247045,"MULTIPOLYGON (((116.45297912232901 39.88632721654877, 116.45285536925599 39.886326929129524, 116.45285536458302 39.88636397257384, 116.45297911765702 39.88636425999317, 116.45297912232901 39.88632721654877)))","6",635.0,垂杨柳东里社区,双井街道,朝阳区,劲松,5637.267100513695,0.269171580056667
247067,"MULTIPOLYGON (((116.44734088920596 39.88642986179201, 116.44753992676902 39.886426172943494, 116.44763137678298 39.886426369621276, 116.447631383543 39.88637286247412, 116.44753993352903 39.88637266579634, 116.44734089648699 39.88637223871201, 116.44734088920596 39.88642986179201)))","6",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
247074,"MULTIPOLYGON (((116.44731938011005 39.88636396074881, 116.44753993509 39.88636031798716, 116.44769055882998 39.88636064207778, 116.44769056403 39.8863194826985, 116.44753993977 39.886323274547024, 116.44721179799802 39.886326687093, 116.44721717212504 39.88636785796904, 116.447265586652 39.88636384559079, 116.44726557677004 39.88644204833978, 116.44732475010098 39.88643805908712, 116.44731938011005 39.88636396074881)))","6",636.0,垂杨柳西里社区,双井街道,朝阳区,劲松,5230.336978492697,0.206902373592734
