mmac	est_utc	est	qiuqian1
581a328bcacf4f209f976608d047e677	1615788420	2021/3/15 14:07:00	26
581a328bcacf4f209f976608d047e677	1615788960	2021/3/15 14:16:00	26
581a328bcacf4f209f976608d047e677	1615789020	2021/3/15 14:17:00	25
581a328bcacf4f209f976608d047e677	1615790160	2021/3/15 14:36:00	26
581a328bcacf4f209f976608d047e677	1615791000	2021/3/15 14:50:00	25
581a328bcacf4f209f976608d047e677	1615791600	2021/3/15 15:00:00	26
581a328bcacf4f209f976608d047e677	1615793220	2021/3/15 15:27:00	28
581a328bcacf4f209f976608d047e677	1615793580	2021/3/15 15:33:00	26
581a328bcacf4f209f976608d047e677	1615794180	2021/3/15 15:43:00	27
581a328bcacf4f209f976608d047e677	1615794480	2021/3/15 15:48:00	25
581a328bcacf4f209f976608d047e677	1615794660	2021/3/15 15:51:00	26
581a328bcacf4f209f976608d047e677	1615794780	2021/3/15 15:53:00	26
581a328bcacf4f209f976608d047e677	1615794900	2021/3/15 15:55:00	26
581a328bcacf4f209f976608d047e677	1615794960	2021/3/15 15:56:00	26
581a328bcacf4f209f976608d047e677	1615795620	2021/3/15 16:07:00	26
581a328bcacf4f209f976608d047e677	1615797360	2021/3/15 16:36:00	25
581a328bcacf4f209f976608d047e677	1615798020	2021/3/15 16:47:00	26
581a328bcacf4f209f976608d047e677	1615798380	2021/3/15 16:53:00	25
581a328bcacf4f209f976608d047e677	1615800240	2021/3/15 17:24:00	27
581a328bcacf4f209f976608d047e677	1615801860	2021/3/15 17:51:00	25
581a328bcacf4f209f976608d047e677	1615802220	2021/3/15 17:57:00	25
581a328bcacf4f209f976608d047e677	1615802280	2021/3/15 17:58:00	25
581a328bcacf4f209f976608d047e677	1615803180	2021/3/15 18:13:00	25
581a328bcacf4f209f976608d047e677	1615805460	2021/3/15 18:51:00	25
581a328bcacf4f209f976608d047e677	1615805700	2021/3/15 18:55:00	26
581a328bcacf4f209f976608d047e677	1615806060	2021/3/15 19:01:00	25
581a328bcacf4f209f976608d047e677	1615806300	2021/3/15 19:05:00	25
581a328bcacf4f209f976608d047e677	1615809780	2021/3/15 20:03:00	28
581a328bcacf4f209f976608d047e677	1615810140	2021/3/15 20:09:00	29
581a328bcacf4f209f976608d047e677	1615812720	2021/3/15 20:52:00	26
581a328bcacf4f209f976608d047e677	1615813020	2021/3/15 20:57:00	26
581a328bcacf4f209f976608d047e677	1615815180	2021/3/15 21:33:00	26
581a328bcacf4f209f976608d047e677	1615850880	2021/3/16 07:28:00	26
581a328bcacf4f209f976608d047e677	1615851480	2021/3/16 07:38:00	25
581a328bcacf4f209f976608d047e677	1615852680	2021/3/16 07:58:00	26
581a328bcacf4f209f976608d047e677	1615852740	2021/3/16 07:59:00	26
581a328bcacf4f209f976608d047e677	1615853160	2021/3/16 08:06:00	25
581a328bcacf4f209f976608d047e677	1615853340	2021/3/16 08:09:00	26
581a328bcacf4f209f976608d047e677	1615853400	2021/3/16 08:10:00	25
581a328bcacf4f209f976608d047e677	1615854120	2021/3/16 08:22:00	26
581a328bcacf4f209f976608d047e677	1615854300	2021/3/16 08:25:00	27
581a328bcacf4f209f976608d047e677	1615857420	2021/3/16 09:17:00	28
581a328bcacf4f209f976608d047e677	1615857600	2021/3/16 09:20:00	27
581a328bcacf4f209f976608d047e677	1615857840	2021/3/16 09:24:00	27
581a328bcacf4f209f976608d047e677	1615859160	2021/3/16 09:46:00	28
581a328bcacf4f209f976608d047e677	1615859220	2021/3/16 09:47:00	26
581a328bcacf4f209f976608d047e677	1615859280	2021/3/16 09:48:00	28
581a328bcacf4f209f976608d047e677	1615859520	2021/3/16 09:52:00	25
581a328bcacf4f209f976608d047e677	1615859580	2021/3/16 09:53:00	26
581a328bcacf4f209f976608d047e677	1615859880	2021/3/16 09:58:00	26
581a328bcacf4f209f976608d047e677	1615860120	2021/3/16 10:02:00	25
581a328bcacf4f209f976608d047e677	1615860180	2021/3/16 10:03:00	26
581a328bcacf4f209f976608d047e677	1615860540	2021/3/16 10:09:00	26
581a328bcacf4f209f976608d047e677	1615861620	2021/3/16 10:27:00	27
581a328bcacf4f209f976608d047e677	1615862160	2021/3/16 10:36:00	26
581a328bcacf4f209f976608d047e677	1615862760	2021/3/16 10:46:00	27
581a328bcacf4f209f976608d047e677	1615862820	2021/3/16 10:47:00	26
581a328bcacf4f209f976608d047e677	1615862880	2021/3/16 10:48:00	26
581a328bcacf4f209f976608d047e677	1615862940	2021/3/16 10:49:00	26
581a328bcacf4f209f976608d047e677	1615863000	2021/3/16 10:50:00	25
581a328bcacf4f209f976608d047e677	1615863060	2021/3/16 10:51:00	27
581a328bcacf4f209f976608d047e677	1615863120	2021/3/16 10:52:00	26
581a328bcacf4f209f976608d047e677	1615863180	2021/3/16 10:53:00	27
581a328bcacf4f209f976608d047e677	1615863600	2021/3/16 11:00:00	26
581a328bcacf4f209f976608d047e677	1615863960	2021/3/16 11:06:00	26
581a328bcacf4f209f976608d047e677	1615864020	2021/3/16 11:07:00	26
581a328bcacf4f209f976608d047e677	1615864200	2021/3/16 11:10:00	26
581a328bcacf4f209f976608d047e677	1615864500	2021/3/16 11:15:00	27
581a328bcacf4f209f976608d047e677	1615864560	2021/3/16 11:16:00	26
581a328bcacf4f209f976608d047e677	1615866000	2021/3/16 11:40:00	27
581a328bcacf4f209f976608d047e677	1615866060	2021/3/16 11:41:00	25
581a328bcacf4f209f976608d047e677	1615867080	2021/3/16 11:58:00	25
581a328bcacf4f209f976608d047e677	1615867920	2021/3/16 12:12:00	25
581a328bcacf4f209f976608d047e677	1615869180	2021/3/16 12:33:00	27
581a328bcacf4f209f976608d047e677	1615869300	2021/3/16 12:35:00	28
581a328bcacf4f209f976608d047e677	1615871820	2021/3/16 13:17:00	27
581a328bcacf4f209f976608d047e677	1615872240	2021/3/16 13:24:00	26
581a328bcacf4f209f976608d047e677	1615873260	2021/3/16 13:41:00	26
581a328bcacf4f209f976608d047e677	1615873860	2021/3/16 13:51:00	32
581a328bcacf4f209f976608d047e677	1615875000	2021/3/16 14:10:00	25
581a328bcacf4f209f976608d047e677	1615875780	2021/3/16 14:23:00	26
581a328bcacf4f209f976608d047e677	1615877400	2021/3/16 14:50:00	25
581a328bcacf4f209f976608d047e677	1615877580	2021/3/16 14:53:00	26
581a328bcacf4f209f976608d047e677	1615877640	2021/3/16 14:54:00	25
581a328bcacf4f209f976608d047e677	1615877760	2021/3/16 14:56:00	28
581a328bcacf4f209f976608d047e677	1615878000	2021/3/16 15:00:00	25
581a328bcacf4f209f976608d047e677	1615878120	2021/3/16 15:02:00	28
581a328bcacf4f209f976608d047e677	1615878780	2021/3/16 15:13:00	25
581a328bcacf4f209f976608d047e677	1615878960	2021/3/16 15:16:00	26
581a328bcacf4f209f976608d047e677	1615879020	2021/3/16 15:17:00	27
581a328bcacf4f209f976608d047e677	1615879200	2021/3/16 15:20:00	25
581a328bcacf4f209f976608d047e677	1615879560	2021/3/16 15:26:00	25
581a328bcacf4f209f976608d047e677	1615881120	2021/3/16 15:52:00	25
581a328bcacf4f209f976608d047e677	1615881180	2021/3/16 15:53:00	27
581a328bcacf4f209f976608d047e677	1615883460	2021/3/16 16:31:00	26
581a328bcacf4f209f976608d047e677	1615883760	2021/3/16 16:36:00	26
581a328bcacf4f209f976608d047e677	1615883820	2021/3/16 16:37:00	25
581a328bcacf4f209f976608d047e677	1615883880	2021/3/16 16:38:00	31
581a328bcacf4f209f976608d047e677	1615883940	2021/3/16 16:39:00	26
581a328bcacf4f209f976608d047e677	1615884060	2021/3/16 16:41:00	27
581a328bcacf4f209f976608d047e677	1615884120	2021/3/16 16:42:00	28
581a328bcacf4f209f976608d047e677	1615884180	2021/3/16 16:43:00	25
581a328bcacf4f209f976608d047e677	1615884240	2021/3/16 16:44:00	25
581a328bcacf4f209f976608d047e677	1615884420	2021/3/16 16:47:00	27
581a328bcacf4f209f976608d047e677	1615884600	2021/3/16 16:50:00	26
581a328bcacf4f209f976608d047e677	1615884780	2021/3/16 16:53:00	27
581a328bcacf4f209f976608d047e677	1615884840	2021/3/16 16:54:00	26
581a328bcacf4f209f976608d047e677	1615884900	2021/3/16 16:55:00	25
581a328bcacf4f209f976608d047e677	1615884960	2021/3/16 16:56:00	25
581a328bcacf4f209f976608d047e677	1615885020	2021/3/16 16:57:00	26
581a328bcacf4f209f976608d047e677	1615885260	2021/3/16 17:01:00	27
581a328bcacf4f209f976608d047e677	1615885320	2021/3/16 17:02:00	26
581a328bcacf4f209f976608d047e677	1615885380	2021/3/16 17:03:00	25
581a328bcacf4f209f976608d047e677	1615885500	2021/3/16 17:05:00	29
581a328bcacf4f209f976608d047e677	1615885560	2021/3/16 17:06:00	29
581a328bcacf4f209f976608d047e677	1615885620	2021/3/16 17:07:00	27
581a328bcacf4f209f976608d047e677	1615885680	2021/3/16 17:08:00	29
581a328bcacf4f209f976608d047e677	1615885860	2021/3/16 17:11:00	25
581a328bcacf4f209f976608d047e677	1615885920	2021/3/16 17:12:00	25
581a328bcacf4f209f976608d047e677	1615886400	2021/3/16 17:20:00	26
581a328bcacf4f209f976608d047e677	1615886640	2021/3/16 17:24:00	25
581a328bcacf4f209f976608d047e677	1615886700	2021/3/16 17:25:00	25
